sample_id	major_species	abundance	taxid	phylum	class	order	family	genus	species
SAMN06817955	Oleiphilus messinensis	1.832	141451	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Oleiphilaceae	Oleiphilus	Oleiphilus messinensis
SAMN08776294	Candidatus Paracaedibacter acanthamoebae	1.984	91604	Proteobacteria	Alphaproteobacteria	Holosporales	Candidatus Paracaedibacteraceae	Candidatus Paracaedibacter	Candidatus Paracaedibacter acanthamoebae
SAMN09074859	Thiohalobacter thiocyanaticus	2.698	585455	Proteobacteria	Gammaproteobacteria	Chromatiales		Thiohalobacter	Thiohalobacter thiocyanaticus
SAMN09074758	Sphingomonas sp. JJ-A5	2.942	1921510	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Tardibacter	Tardibacter chloracetimidivorans
SAMN04580785	Ketobacter alkanivorans	2.986	1917421	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Alcanivoracaceae	Ketobacter	Ketobacter alkanivorans
SAMN02440412	Bacteroidetes bacterium Omega	3.121	1457365	Balneolaeota				Candidatus Cyclonatronum	Candidatus Cyclonatronum proteinivorum
SAMN02732492	Chlorobaculum tepidum	3.412	1097	Chlorobi	Chlorobia	Chlorobiales	Chlorobiaceae	Chlorobaculum	Chlorobaculum tepidum
SAMN02745206	Syntrophobacter fumaroxidans	4.226	119484	Proteobacteria	Deltaproteobacteria	Syntrophobacterales	Syntrophobacteraceae	Syntrophobacter	Syntrophobacter fumaroxidans
SAMN07621686	Salinibacterium sp. CGMCC 1.16371	4.233	2079791	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae	Salinibacterium	Salinibacterium sp. CGMCC 1.16371
SAMN02199009	Desulfobulbus sp. ORNL	4.277	1986146	Proteobacteria	Deltaproteobacteria	Desulfobacterales	Desulfobulbaceae	Desulfobulbus	Desulfobulbus oralis
SAMN06335524	Croceicoccus naphthovorans	4.344	1348774	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Erythrobacteraceae	Croceicoccus	Croceicoccus naphthovorans
SAMN02199244	Neomicrococcus aestuarii	4.411	556325	Actinobacteria	Actinobacteria	Micrococcales	Micrococcaceae	Neomicrococcus	Neomicrococcus aestuarii
SAMN07621003	Candidatus Portiera aleyrodidarum	4.787	91844	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Halomonadaceae	Candidatus Portiera	Candidatus Portiera aleyrodidarum
SAMN09074748	Algibacter alginicilyticus	4.928	1736674	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Algibacter	Algibacter alginicilyticus
SAMN06266982	Micropruina glycogenica	5.009	75385	Actinobacteria	Actinobacteria	Propionibacteriales	Nocardioidaceae	Micropruina	Micropruina glycogenica
SAMN06016259	Candidatus Ruthia magnifica	5.056	386487	Proteobacteria	Gammaproteobacteria			Candidatus Ruthia	Candidatus Ruthia magnifica
SAMN07621367	Buchnera aphidicola	5.153	9	Proteobacteria	Gammaproteobacteria	Enterobacterales	Erwiniaceae	Buchnera	Buchnera aphidicola
SAMN02745528	Oceanicoccus sagamiensis	5.314	716816	Proteobacteria	Gammaproteobacteria	Cellvibrionales	Spongiibacteraceae	Oceanicoccus	Oceanicoccus sagamiensis
SAMN06264854	Persicobacter sp. JZB09	5.338	1085624	Bacteroidetes	Cytophagia	Cytophagales	Persicobacteraceae	Persicobacter	Persicobacter sp. JZB09
SAMN02744796	Methyloceanibacter sp. wino2	5.432	2170729	Proteobacteria	Alphaproteobacteria	Rhizobiales		Methyloceanibacter	Methyloceanibacter sp. wino2
SAMN02744810	Solibacillus sp. R5-41	5.44	2048654	Firmicutes	Bacilli	Bacillales	Planococcaceae	Solibacillus	Solibacillus sp. R5-41
SAMN02584972	Halotalea alkalilenta	5.468	376489	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Halomonadaceae	Halotalea	Halotalea alkalilenta
SAMN00773127	Halothermothrix orenii	5.602	31909	Firmicutes	Clostridia	Halanaerobiales	Halanaerobiaceae	Halothermothrix	Halothermothrix orenii
SAMN08886522	Sphingorhabdus sp. Alg231-15	5.828	1922222	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingorhabdus	Sphingorhabdus sp. Alg231-15
SAMN08775544	Aminomonas paucivorans	5.902	81412	Synergistetes	Synergistia	Synergistales	Synergistaceae	Aminomonas	Aminomonas paucivorans
SAMN02198965	Agarivorans gilvus	6.143	680279	Proteobacteria	Gammaproteobacteria	Alteromonadales	Alteromonadaceae	Agarivorans	Agarivorans gilvus
SAMN04488134	Amphibacillus xylanus	6.22	1449	Firmicutes	Bacilli	Bacillales	Bacillaceae	Amphibacillus	Amphibacillus xylanus
SAMN02194783	Candidatus Solibacter usitatus	6.639	332163	Acidobacteria	Acidobacteriia	Bryobacterales	Solibacteraceae	Candidatus Solibacter	Candidatus Solibacter usitatus
SAMN02745502	Wigglesworthia glossinidia	6.86	51229	Proteobacteria	Gammaproteobacteria	Enterobacterales	Erwiniaceae	Wigglesworthia	Wigglesworthia glossinidia
SAMN02199417	Sediminicola sp. YIK13	6.959	1453352	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Sediminicola	Sediminicola sp. YIK13
SAMN05192529	Arachidicoccus sp. BS20	7.232	1850526	Bacteroidetes	Chitinophagia	Chitinophagales	Chitinophagaceae	Arachidicoccus	Arachidicoccus sp. BS20
SAMN02441406	Micavibrio aeruginosavorus	7.236	349221	Proteobacteria	Alphaproteobacteria			Micavibrio	Micavibrio aeruginosavorus
SAMN02199408	Gottschalkia acidurici	7.263	1556	Firmicutes	Tissierellia	Tissierellales	Gottschalkiaceae	Gottschalkia	Gottschalkia acidurici
SAMN05414138	Rhodoplanes sp. Z2-YC6860	7.47	674703	Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	Rhodoplanes	Rhodoplanes sp. Z2-YC6860
SAMN07621134	Paraoerskovia marina	7.51	545619	Actinobacteria	Actinobacteria	Micrococcales	Cellulomonadaceae	Paraoerskovia	Paraoerskovia marina
SAMN02261255	Arthrospira platensis	7.643	118562	Cyanobacteria		Oscillatoriales	Microcoleaceae	Arthrospira	Arthrospira platensis
SAMN02745245	Peptoniphilus sp. ING2-D1G	8.121	1912856	Firmicutes	Tissierellia	Tissierellales	Peptoniphilaceae	Peptoniphilus	Peptoniphilus sp. ING2-D1G
SAMN08770121	Roseibacterium elongatum	8.251999999999999	159346	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Roseibacterium	Roseibacterium elongatum
SAMN00262208	Pseudarcicella sp. HME7025	8.376	998844	Bacteroidetes	Cytophagia	Cytophagales	Cytophagaceae	Allopseudarcicella	Allopseudarcicella aquatilis
SAMN07622098	Thiolapillus brandeum	8.446	1076588	Proteobacteria	Gammaproteobacteria			Thiolapillus	Thiolapillus brandeum
SAMN07313991	Jeotgalibacillus malaysiensis	8.604000000000001	1508404	Firmicutes	Bacilli	Bacillales	Planococcaceae	Jeotgalibacillus	Jeotgalibacillus malaysiensis
SAMN02746022	Methylocella silvestris	8.751	199596	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	Methylocella	Methylocella silvestris
SAMEA3374943	Luteipulveratus mongoliensis	9.025	571913	Actinobacteria	Actinobacteria	Micrococcales	Dermacoccaceae	Luteipulveratus	Luteipulveratus mongoliensis
