sample_id	major_species	abundance	taxid	phylum	class	order	family	genus	species	original_path	ftp_path
SAMN06817955	Oleiphilus messinensis	1.832	141451	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Oleiphilaceae	Oleiphilus	Oleiphilus messinensis	/ebi/ftp/pub/databases/ENA2018-bacteria-661k/Assemblies/batch_465/SAMN06817955.contigs.fa.gz	https://ftp.ebi.ac.uk//pub/databases/ENA2018-bacteria-661k/Assemblies/batch_465/SAMN06817955.contigs.fa.gz
SAMN08776294	Candidatus Paracaedibacter acanthamoebae	1.984	91604	Proteobacteria	Alphaproteobacteria	Holosporales	Candidatus Paracaedibacteraceae	Candidatus Paracaedibacter	Candidatus Paracaedibacter acanthamoebae	/ebi/ftp/pub/databases/ENA2018-bacteria-661k/Assemblies/batch_560/SAMN08776294.contigs.fa.gz	https://ftp.ebi.ac.uk//pub/databases/ENA2018-bacteria-661k/Assemblies/batch_560/SAMN08776294.contigs.fa.gz
SAMN09074859	Thiohalobacter thiocyanaticus	2.698	585455	Proteobacteria	Gammaproteobacteria	Chromatiales		Thiohalobacter	Thiohalobacter thiocyanaticus	/ebi/ftp/pub/databases/ENA2018-bacteria-661k/Assemblies/batch_577/SAMN09074859.contigs.fa.gz	https://ftp.ebi.ac.uk//pub/databases/ENA2018-bacteria-661k/Assemblies/batch_577/SAMN09074859.contigs.fa.gz
SAMN09074758	Sphingomonas sp. JJ-A5	2.942	1921510	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Tardibacter	Tardibacter chloracetimidivorans	/ebi/ftp/pub/databases/ENA2018-bacteria-661k/Assemblies/batch_577/SAMN09074758.contigs.fa.gz	https://ftp.ebi.ac.uk//pub/databases/ENA2018-bacteria-661k/Assemblies/batch_577/SAMN09074758.contigs.fa.gz
SAMN04580785	Ketobacter alkanivorans	2.986	1917421	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Alcanivoracaceae	Ketobacter	Ketobacter alkanivorans	/ebi/ftp/pub/databases/ENA2018-bacteria-661k/Assemblies/batch_376/SAMN04580785.contigs.fa.gz	https://ftp.ebi.ac.uk//pub/databases/ENA2018-bacteria-661k/Assemblies/batch_376/SAMN04580785.contigs.fa.gz
SAMN02440412	Bacteroidetes bacterium Omega	3.121	1457365	Balneolaeota				Candidatus Cyclonatronum	Candidatus Cyclonatronum proteinivorum	/ebi/ftp/pub/databases/ENA2018-bacteria-661k/Assemblies/batch_285/SAMN02440412.contigs.fa.gz	https://ftp.ebi.ac.uk//pub/databases/ENA2018-bacteria-661k/Assemblies/batch_285/SAMN02440412.contigs.fa.gz
SAMN02732492	Chlorobaculum tepidum	3.412	1097	Chlorobi	Chlorobia	Chlorobiales	Chlorobiaceae	Chlorobaculum	Chlorobaculum tepidum	/ebi/ftp/pub/databases/ENA2018-bacteria-661k/Assemblies/batch_292/SAMN02732492.contigs.fa.gz	https://ftp.ebi.ac.uk//pub/databases/ENA2018-bacteria-661k/Assemblies/batch_292/SAMN02732492.contigs.fa.gz
SAMN02745206	Syntrophobacter fumaroxidans	4.226	119484	Proteobacteria	Deltaproteobacteria	Syntrophobacterales	Syntrophobacteraceae	Syntrophobacter	Syntrophobacter fumaroxidans	/ebi/ftp/pub/databases/ENA2018-bacteria-661k/Assemblies/batch_293/SAMN02745206.contigs.fa.gz	https://ftp.ebi.ac.uk//pub/databases/ENA2018-bacteria-661k/Assemblies/batch_293/SAMN02745206.contigs.fa.gz
SAMN07621686	Salinibacterium sp. CGMCC 1.16371	4.233	2079791	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae	Salinibacterium	Salinibacterium sp. CGMCC 1.16371	/ebi/ftp/pub/databases/ENA2018-bacteria-661k/Assemblies/batch_501/SAMN07621686.contigs.fa.gz	https://ftp.ebi.ac.uk//pub/databases/ENA2018-bacteria-661k/Assemblies/batch_501/SAMN07621686.contigs.fa.gz
SAMN02199009	Desulfobulbus sp. ORNL	4.277	1986146	Proteobacteria	Deltaproteobacteria	Desulfobacterales	Desulfobulbaceae	Desulfobulbus	Desulfobulbus oralis	/ebi/ftp/pub/databases/ENA2018-bacteria-661k/Assemblies/batch_274/SAMN02199009.contigs.fa.gz	https://ftp.ebi.ac.uk//pub/databases/ENA2018-bacteria-661k/Assemblies/batch_274/SAMN02199009.contigs.fa.gz
SAMN06335524	Croceicoccus naphthovorans	4.344	1348774	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Erythrobacteraceae	Croceicoccus	Croceicoccus naphthovorans	/ebi/ftp/pub/databases/ENA2018-bacteria-661k/Assemblies/batch_452/SAMN06335524.contigs.fa.gz	https://ftp.ebi.ac.uk//pub/databases/ENA2018-bacteria-661k/Assemblies/batch_452/SAMN06335524.contigs.fa.gz
SAMN02199244	Neomicrococcus aestuarii	4.411	556325	Actinobacteria	Actinobacteria	Micrococcales	Micrococcaceae	Neomicrococcus	Neomicrococcus aestuarii	/ebi/ftp/pub/databases/ENA2018-bacteria-661k/Assemblies/batch_274/SAMN02199244.contigs.fa.gz	https://ftp.ebi.ac.uk//pub/databases/ENA2018-bacteria-661k/Assemblies/batch_274/SAMN02199244.contigs.fa.gz
SAMN07621003	Candidatus Portiera aleyrodidarum	4.787	91844	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Halomonadaceae	Candidatus Portiera	Candidatus Portiera aleyrodidarum	/ebi/ftp/pub/databases/ENA2018-bacteria-661k/Assemblies/batch_501/SAMN07621003.contigs.fa.gz	https://ftp.ebi.ac.uk//pub/databases/ENA2018-bacteria-661k/Assemblies/batch_501/SAMN07621003.contigs.fa.gz
SAMN09074748	Algibacter alginicilyticus	4.928	1736674	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Algibacter	Algibacter alginicilyticus	/ebi/ftp/pub/databases/ENA2018-bacteria-661k/Assemblies/batch_577/SAMN09074748.contigs.fa.gz	https://ftp.ebi.ac.uk//pub/databases/ENA2018-bacteria-661k/Assemblies/batch_577/SAMN09074748.contigs.fa.gz
SAMN06266982	Micropruina glycogenica	5.009	75385	Actinobacteria	Actinobacteria	Propionibacteriales	Nocardioidaceae	Micropruina	Micropruina glycogenica	/ebi/ftp/pub/databases/ENA2018-bacteria-661k/Assemblies/batch_445/SAMN06266982.contigs.fa.gz	https://ftp.ebi.ac.uk//pub/databases/ENA2018-bacteria-661k/Assemblies/batch_445/SAMN06266982.contigs.fa.gz
SAMN06016259	Candidatus Ruthia magnifica	5.056	386487	Proteobacteria	Gammaproteobacteria			Candidatus Ruthia	Candidatus Ruthia magnifica	/ebi/ftp/pub/databases/ENA2018-bacteria-661k/Assemblies/batch_427/SAMN06016259.contigs.fa.gz	https://ftp.ebi.ac.uk//pub/databases/ENA2018-bacteria-661k/Assemblies/batch_427/SAMN06016259.contigs.fa.gz
SAMN07621367	Buchnera aphidicola	5.153	9	Proteobacteria	Gammaproteobacteria	Enterobacterales	Erwiniaceae	Buchnera	Buchnera aphidicola	/ebi/ftp/pub/databases/ENA2018-bacteria-661k/Assemblies/batch_501/SAMN07621367.contigs.fa.gz	https://ftp.ebi.ac.uk//pub/databases/ENA2018-bacteria-661k/Assemblies/batch_501/SAMN07621367.contigs.fa.gz
SAMN02745528	Oceanicoccus sagamiensis	5.314	716816	Proteobacteria	Gammaproteobacteria	Cellvibrionales	Spongiibacteraceae	Oceanicoccus	Oceanicoccus sagamiensis	/ebi/ftp/pub/databases/ENA2018-bacteria-661k/Assemblies/batch_294/SAMN02745528.contigs.fa.gz	https://ftp.ebi.ac.uk//pub/databases/ENA2018-bacteria-661k/Assemblies/batch_294/SAMN02745528.contigs.fa.gz
SAMN06264854	Persicobacter sp. JZB09	5.338	1085624	Bacteroidetes	Cytophagia	Cytophagales	Persicobacteraceae	Persicobacter	Persicobacter sp. JZB09	/ebi/ftp/pub/databases/ENA2018-bacteria-661k/Assemblies/batch_445/SAMN06264854.contigs.fa.gz	https://ftp.ebi.ac.uk//pub/databases/ENA2018-bacteria-661k/Assemblies/batch_445/SAMN06264854.contigs.fa.gz
SAMN02744796	Methyloceanibacter sp. wino2	5.432	2170729	Proteobacteria	Alphaproteobacteria	Rhizobiales		Methyloceanibacter	Methyloceanibacter sp. wino2	/ebi/ftp/pub/databases/ENA2018-bacteria-661k/Assemblies/batch_293/SAMN02744796.contigs.fa.gz	https://ftp.ebi.ac.uk//pub/databases/ENA2018-bacteria-661k/Assemblies/batch_293/SAMN02744796.contigs.fa.gz
SAMN02744810	Solibacillus sp. R5-41	5.44	2048654	Firmicutes	Bacilli	Bacillales	Planococcaceae	Solibacillus	Solibacillus sp. R5-41	/ebi/ftp/pub/databases/ENA2018-bacteria-661k/Assemblies/batch_293/SAMN02744810.contigs.fa.gz	https://ftp.ebi.ac.uk//pub/databases/ENA2018-bacteria-661k/Assemblies/batch_293/SAMN02744810.contigs.fa.gz
SAMN02584972	Halotalea alkalilenta	5.468	376489	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Halomonadaceae	Halotalea	Halotalea alkalilenta	/ebi/ftp/pub/databases/ENA2018-bacteria-661k/Assemblies/batch_287/SAMN02584972.contigs.fa.gz	https://ftp.ebi.ac.uk//pub/databases/ENA2018-bacteria-661k/Assemblies/batch_287/SAMN02584972.contigs.fa.gz
SAMN00773127	Halothermothrix orenii	5.602	31909	Firmicutes	Clostridia	Halanaerobiales	Halanaerobiaceae	Halothermothrix	Halothermothrix orenii	/ebi/ftp/pub/databases/ENA2018-bacteria-661k/Assemblies/batch_268/SAMN00773127.contigs.fa.gz	https://ftp.ebi.ac.uk//pub/databases/ENA2018-bacteria-661k/Assemblies/batch_268/SAMN00773127.contigs.fa.gz
SAMN08886522	Sphingorhabdus sp. Alg231-15	5.828	1922222	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingorhabdus	Sphingorhabdus sp. Alg231-15	/ebi/ftp/pub/databases/ENA2018-bacteria-661k/Assemblies/batch_569/SAMN08886522.contigs.fa.gz	https://ftp.ebi.ac.uk//pub/databases/ENA2018-bacteria-661k/Assemblies/batch_569/SAMN08886522.contigs.fa.gz
SAMN08775544	Aminomonas paucivorans	5.902	81412	Synergistetes	Synergistia	Synergistales	Synergistaceae	Aminomonas	Aminomonas paucivorans	/ebi/ftp/pub/databases/ENA2018-bacteria-661k/Assemblies/batch_560/SAMN08775544.contigs.fa.gz	https://ftp.ebi.ac.uk//pub/databases/ENA2018-bacteria-661k/Assemblies/batch_560/SAMN08775544.contigs.fa.gz
SAMN02198965	Agarivorans gilvus	6.143	680279	Proteobacteria	Gammaproteobacteria	Alteromonadales	Alteromonadaceae	Agarivorans	Agarivorans gilvus	/ebi/ftp/pub/databases/ENA2018-bacteria-661k/Assemblies/batch_274/SAMN02198965.contigs.fa.gz	https://ftp.ebi.ac.uk//pub/databases/ENA2018-bacteria-661k/Assemblies/batch_274/SAMN02198965.contigs.fa.gz
SAMN04488134	Amphibacillus xylanus	6.22	1449	Firmicutes	Bacilli	Bacillales	Bacillaceae	Amphibacillus	Amphibacillus xylanus	/ebi/ftp/pub/databases/ENA2018-bacteria-661k/Assemblies/batch_368/SAMN04488134.contigs.fa.gz	https://ftp.ebi.ac.uk//pub/databases/ENA2018-bacteria-661k/Assemblies/batch_368/SAMN04488134.contigs.fa.gz
SAMN02194783	Candidatus Solibacter usitatus	6.639	332163	Acidobacteria	Acidobacteriia	Bryobacterales	Solibacteraceae	Candidatus Solibacter	Candidatus Solibacter usitatus	/ebi/ftp/pub/databases/ENA2018-bacteria-661k/Assemblies/batch_274/SAMN02194783.contigs.fa.gz	https://ftp.ebi.ac.uk//pub/databases/ENA2018-bacteria-661k/Assemblies/batch_274/SAMN02194783.contigs.fa.gz
SAMN02745502	Wigglesworthia glossinidia	6.86	51229	Proteobacteria	Gammaproteobacteria	Enterobacterales	Erwiniaceae	Wigglesworthia	Wigglesworthia glossinidia	/ebi/ftp/pub/databases/ENA2018-bacteria-661k/Assemblies/batch_294/SAMN02745502.contigs.fa.gz	https://ftp.ebi.ac.uk//pub/databases/ENA2018-bacteria-661k/Assemblies/batch_294/SAMN02745502.contigs.fa.gz
SAMN02199417	Sediminicola sp. YIK13	6.959	1453352	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Sediminicola	Sediminicola sp. YIK13	/ebi/ftp/pub/databases/ENA2018-bacteria-661k/Assemblies/batch_275/SAMN02199417.contigs.fa.gz	https://ftp.ebi.ac.uk//pub/databases/ENA2018-bacteria-661k/Assemblies/batch_275/SAMN02199417.contigs.fa.gz
SAMN05192529	Arachidicoccus sp. BS20	7.232	1850526	Bacteroidetes	Chitinophagia	Chitinophagales	Chitinophagaceae	Arachidicoccus	Arachidicoccus sp. BS20	/ebi/ftp/pub/databases/ENA2018-bacteria-661k/Assemblies/batch_390/SAMN05192529.contigs.fa.gz	https://ftp.ebi.ac.uk//pub/databases/ENA2018-bacteria-661k/Assemblies/batch_390/SAMN05192529.contigs.fa.gz
SAMN02441406	Micavibrio aeruginosavorus	7.236	349221	Proteobacteria	Alphaproteobacteria			Micavibrio	Micavibrio aeruginosavorus	/ebi/ftp/pub/databases/ENA2018-bacteria-661k/Assemblies/batch_285/SAMN02441406.contigs.fa.gz	https://ftp.ebi.ac.uk//pub/databases/ENA2018-bacteria-661k/Assemblies/batch_285/SAMN02441406.contigs.fa.gz
SAMN02199408	Gottschalkia acidurici	7.263	1556	Firmicutes	Tissierellia	Tissierellales	Gottschalkiaceae	Gottschalkia	Gottschalkia acidurici	/ebi/ftp/pub/databases/ENA2018-bacteria-661k/Assemblies/batch_275/SAMN02199408.contigs.fa.gz	https://ftp.ebi.ac.uk//pub/databases/ENA2018-bacteria-661k/Assemblies/batch_275/SAMN02199408.contigs.fa.gz
SAMN05414138	Rhodoplanes sp. Z2-YC6860	7.47	674703	Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	Rhodoplanes	Rhodoplanes sp. Z2-YC6860	/ebi/ftp/pub/databases/ENA2018-bacteria-661k/Assemblies/batch_403/SAMN05414138.contigs.fa.gz	https://ftp.ebi.ac.uk//pub/databases/ENA2018-bacteria-661k/Assemblies/batch_403/SAMN05414138.contigs.fa.gz
SAMN07621134	Paraoerskovia marina	7.51	545619	Actinobacteria	Actinobacteria	Micrococcales	Cellulomonadaceae	Paraoerskovia	Paraoerskovia marina	/ebi/ftp/pub/databases/ENA2018-bacteria-661k/Assemblies/batch_501/SAMN07621134.contigs.fa.gz	https://ftp.ebi.ac.uk//pub/databases/ENA2018-bacteria-661k/Assemblies/batch_501/SAMN07621134.contigs.fa.gz
SAMN02261255	Arthrospira platensis	7.643	118562	Cyanobacteria		Oscillatoriales	Microcoleaceae	Arthrospira	Arthrospira platensis	/ebi/ftp/pub/databases/ENA2018-bacteria-661k/Assemblies/batch_276/SAMN02261255.contigs.fa.gz	https://ftp.ebi.ac.uk//pub/databases/ENA2018-bacteria-661k/Assemblies/batch_276/SAMN02261255.contigs.fa.gz
SAMN02745245	Peptoniphilus sp. ING2-D1G	8.121	1912856	Firmicutes	Tissierellia	Tissierellales	Peptoniphilaceae	Peptoniphilus	Peptoniphilus sp. ING2-D1G	/ebi/ftp/pub/databases/ENA2018-bacteria-661k/Assemblies/batch_293/SAMN02745245.contigs.fa.gz	https://ftp.ebi.ac.uk//pub/databases/ENA2018-bacteria-661k/Assemblies/batch_293/SAMN02745245.contigs.fa.gz
